"label","color"
"third","#80B1D3"
"two","#A6CEE3"
"clubs","green"
"talcra","#666666"
"scisor","#E78AC3"
"goal","cyan"
"skydiv","#66A61E"
"adot","#FCCDE5"
"flat","indianred2"
"splash","#FFF2AE"
"ghost","#666666"
"kneel","#FDB462"
"keyhol","#F4CAE4"
"rabbit","darkgrey"
"ov","peru"
"turtle","#999999"
"hockey","green"
"butts","#FFFF33"
"book","#386CB0"
"armsup","#5F7FC7"
"xo","orangered1"
"yoga","#CCEBC5"
"reader","#7FC97F"
"winner","#FFFFB3"
"kissin","pink"
"boxer","#E6AB02"
"tall","yellow"
"teepee","#BC80BD"
"shark","blue4"
"catch","#FDBF6F"
"seated","#B3CDE3"
"flex","#E41A1C"
"ohmmm","yellow4"
"abunny","#A6D854"
"bed","black"
"hulk","#1B9E77"
"bowtie","purple3"
"vball","#7570B3"
"bookup","#FFFF99"
"dot","#CCCCCC"
"amen","#FFFFCC"
"hide","#386CB0"
"triang","green"
"muscle","#FDDAEC"
"meding","#E41A1C"
"gloves","#B15928"
"xdotup","#FED9A6"
"jump","cyan"
"sittin","#80B1D3"
"man","forestgreen"
"thin","#FFD92F"
"butt","#FFFFCC"
"frog","green2"
"crossx","#BEBADA"
"love","#B3DE69"
"bell","magenta1"
"pinch","#FDDAEC"
"yeller","#FFF2AE"
"xdot","#A65628"
"baby","#4DAF4A"
"balbot","#652926"
"person","#FFFFCC"
"blob","#FFFF99"
"ship","#CCCCCC"
"bunny","lightblue2"
"cheer","gold"
"ballup","#FCCDE5"
"vase","red2"
"spider","#FBB4AE"
"woman","#FDDAEC"
"earsup","grey90"
"wide","#CBD5E8"
"faces","#66C2A5"
"lowbal","#A6761D"
"shamoo","#F4CAE4"
"sumo","grey21"
"power","black"
"dino","#BC80BD"
"dotlow","#A65628"
"vagina","#66A61E"
"downba","#CCCCCC"
"heart","#F781BF"
"horse","#B3DE69"
"squat","darkcyan"
"baltop","#1F78B4"
"shrug","darkmagenta"
"bat","#B3B3B3"
"sofa","#F1E2CC"
"car","#FFFF99"
"golf","#8DA0CB"
"stop","#E6F5C9"
"twohed","#984EA3"
"cutter","#FDC086"
"sad","#CBD5E8"
"whale","steelblue3"
"flydot","#DECBE4"
"tllest","#FDDAEC"
"ball","orange"
"clown","#80B1D3"
"hole","darkorange"
"down","#FBB4AE"
"dogs","#1F78B4"
"jumpin","#4DAF4A"
"narrow","red4"
"topbal","#BEBADA"
"head","#BC80BD"
"jacks","#A6CEE3"
"hiarms","#A6CEE3"
"medi","#984EA3"
"bfly","#66A61E"
"hotdog","#FB9A99"
"balbtw","#5E738F"
"read","#7FC97F"
"sunset","#666666"
"banana","#FFFFB3"
"flower","#B2DF8A"
"yay","#E7298A"
"teletu","#FDDAEC"
"kiss","red"
"fightr","#A6CEE3"
"moon","#CBD5E8"
"xman","yellow3"
"knot","#F2F2F2"
"upball","blue"
"pray","white"
"bow","#1B9E77"
"couch","burlywood2"
"kisses","#66C2A5"
"dance","#666666"
"loball","gold3"
"wings","lightgoldenrod1"
"hiball","turquoise3"
"seals","#F781BF"
"hugs","#B15928"
"sit","#B15928"
"crab","deeppink2"
"arms","#A65628"
"hidot","#E6AB02"
"floaty","#E5D8BD"
"widest","#A6D854"
"fly","hotpink1"
"buddha","orange"
"onhead","#FCCDE5"
"tongs","#FDBF6F"
"hooray","#F781BF"
"smile","purple3"
"armup","#E78AC3"
"plate","#66A61E"
"hippo","#FC8D62"
"hug","blue1"
"sitter","#A6761D"
"pengui","#999999"
"backs","#E31A1C"
"moth","#FF7F00"
"flatst","#E5D8BD"
"couple","#FED9A6"
"readin","#A6D854"
"x","seagreen2"
"bone","grey11"
"boo","grey30"
"btrfly","pink"
"dotdwn","blue3"
"lotus","purple"
"menace","red"
"closed","orange"
"spread","pink3"
"v","hotpink3"
"space","grey35"
"tent","forestgreen"
"praise","azure2"
