"N","Jaccard","Diversity","Rounds","instance_id","bias_zipf"
"100",0.377,35,100,1,TRUE
"100",0.358,38,100,10,TRUE
"100",0.419,36,100,11,TRUE
"100",0.569,29,100,12,TRUE
"100",0.427,36,100,13,TRUE
"100",0.393,46,100,14,TRUE
"100",0.569,33,100,15,TRUE
"100",0.429,48,100,16,TRUE
"100",0.437,48,100,17,TRUE
"100",0.396,45,100,18,TRUE
"100",0.633,41,100,19,TRUE
"100",0.557,27,100,2,TRUE
"100",0.51,41,100,20,TRUE
"100",0.427,39,100,21,TRUE
"100",0.501,39,100,22,TRUE
"100",0.569,37,100,23,TRUE
"100",0.532,38,100,24,TRUE
"100",0.54,45,100,25,TRUE
"100",0.419,35,100,26,TRUE
"100",0.403,45,100,27,TRUE
"100",0.633,33,100,28,TRUE
"100",0.427,41,100,29,TRUE
"100",0.275,41,100,3,TRUE
"100",0.633,41,100,30,TRUE
"100",0.478,41,100,31,TRUE
"100",0.478,29,100,32,TRUE
"100",0.44,36,100,33,TRUE
"100",0.532,34,100,34,TRUE
"100",0.422,39,100,35,TRUE
"100",0.467,38,100,36,TRUE
"100",0.43,33,100,37,TRUE
"100",0.293,36,100,38,TRUE
"100",0.633,42,100,39,TRUE
"100",0.437,28,100,4,TRUE
"100",0.418,33,100,40,TRUE
"100",0.568,39,100,41,TRUE
"100",0.569,43,100,42,TRUE
"100",0.418,39,100,43,TRUE
"100",0.633,38,100,44,TRUE
"100",0.481,41,100,45,TRUE
"100",0.417,33,100,46,TRUE
"100",0.481,38,100,47,TRUE
"100",0.43,39,100,48,TRUE
"100",0.418,34,100,49,TRUE
"100",0.402,35,100,5,TRUE
"100",0.569,30,100,50,TRUE
"100",0.532,36,100,51,TRUE
"100",0.633,43,100,52,TRUE
"100",0.437,36,100,53,TRUE
"100",0.556,37,100,54,TRUE
"100",0.481,45,100,55,TRUE
"100",0.568,47,100,56,TRUE
"100",0.44,34,100,57,TRUE
"100",0.556,38,100,58,TRUE
"100",0.38,37,100,59,TRUE
"100",0.633,44,100,6,TRUE
"100",0.532,41,100,60,TRUE
"100",0.478,43,100,61,TRUE
"100",0.538,37,100,62,TRUE
"100",0.633,40,100,63,TRUE
"100",0.633,42,100,64,TRUE
"100",0.321,27,100,65,TRUE
"100",0.633,42,100,66,TRUE
"100",0.633,28,100,67,TRUE
"100",0.532,33,100,68,TRUE
"100",0.568,39,100,69,TRUE
"100",0.509,40,100,7,TRUE
"100",0.532,37,100,70,TRUE
"100",0.633,38,100,71,TRUE
"100",0.535,50,100,72,TRUE
"100",0.54,38,100,8,TRUE
"100",0.557,45,100,9,TRUE
"2",0.09,15,100,1,TRUE
"2",0.114,14,100,10,TRUE
"2",0.104,16,100,11,TRUE
"2",0.073,14,100,12,TRUE
"2",0.072,11,100,13,TRUE
"2",0.144,15,100,14,TRUE
"2",0.065,13,100,15,TRUE
"2",0.075,13,100,16,TRUE
"2",0.058,15,100,17,TRUE
"2",0.056,19,100,18,TRUE
"2",0.093,13,100,19,TRUE
"2",0.146,12,100,2,TRUE
"2",0.053,13,100,20,TRUE
"2",0.061,13,100,21,TRUE
"2",0.056,12,100,22,TRUE
"2",0.125,9,100,23,TRUE
"2",0.093,13,100,24,TRUE
"2",0.183,13,100,25,TRUE
