"true_img","subject_id","label","N","plot"
"15","1","humans",1,FALSE
"45","1","humans",1,FALSE
"75","1","humans",1,FALSE
"105","1","humans",1,FALSE
"135","1","humans",1,FALSE
"165","1","humans",1,FALSE
"195","1","humans",1,FALSE
"225","1","humans",1,FALSE
"255","1","humans",1,FALSE
"285","1","humans",1,FALSE
"315","1","humans",1,FALSE
"345","1","humans",1,FALSE
"375","1","humans",1,FALSE
"405","1","humans",1,FALSE
"435","1","humans",1,FALSE
"465","1","humans",1,FALSE
"525","1","humans",1,FALSE
"915","1","humans",1,FALSE
"945","1","humans",1,FALSE
"975","1","humans",1,FALSE
"1005","1","humans",1,FALSE
"1035","1","humans",1,FALSE
"1065","1","humans",1,FALSE
"1095","1","humans",1,FALSE
"1125","1","humans",1,FALSE
"1155","1","humans",1,FALSE
"1185","1","humans",1,FALSE
"1215","1","humans",1,FALSE
"1245","1","humans",1,FALSE
"1275","1","humans",1,FALSE
"1305","1","humans",1,FALSE
"1335","1","humans",1,FALSE
"1365","1","humans",1,FALSE
"1395","1","humans",1,FALSE
"1425","1","humans",1,FALSE
"1455","1","humans",1,FALSE
"1485","1","humans",1,FALSE
"495","1","crab",1,FALSE
"555","1","crab",1,FALSE
"585","1","crab",1,FALSE
"615","1","crab",1,FALSE
"645","1","crab",1,FALSE
"675","1","crab",1,FALSE
"705","1","crab",1,FALSE
"735","1","crab",1,FALSE
"765","1","crab",1,FALSE
"795","1","crab",1,FALSE
"825","1","crab",1,FALSE
"855","1","crab",1,FALSE
"885","1","crab",1,FALSE
"555","2","arms",1,TRUE
"585","2","arms",1,TRUE
"615","2","arms",1,TRUE
"645","2","arms",1,TRUE
"675","2","arms",1,TRUE
"705","2","arms",1,TRUE
"735","2","arms",1,TRUE
"765","2","arms",1,TRUE
"795","2","arms",1,TRUE
"825","2","arms",1,TRUE
"915","2","closed",1,TRUE
"1005","2","closed",1,TRUE
"1065","2","closed",1,TRUE
"1095","2","closed",1,TRUE
"1125","2","closed",1,TRUE
"1185","2","closed",1,TRUE
"1275","2","closed",1,TRUE
"1305","2","closed",1,TRUE
"1335","2","closed",1,TRUE
"15","2","circle",1,TRUE
"75","2","circle",1,TRUE
"195","2","circle",1,TRUE
"255","2","circle",1,TRUE
"285","2","circle",1,TRUE
"315","2","circle",1,TRUE
"375","2","circle",1,TRUE
"405","2","circle",1,TRUE
"435","2","circle",1,TRUE
"45","2","circl2",1,TRUE
"105","2","circl2",1,TRUE
"135","2","circl2",1,TRUE
"165","2","circl2",1,TRUE
"225","2","circl2",1,TRUE
"345","2","circl2",1,TRUE
"465","2","circl2",1,TRUE
"495","2","circl2",1,TRUE
"525","2","circl2",1,TRUE
"1365","2","bottom",1,TRUE
"1395","2","bottom",1,TRUE
"1425","2","bottom",1,TRUE
"1455","2","bottom",1,TRUE
"1485","2","bottom",1,TRUE
"855","2","close2",1,TRUE
"885","2","close2",1,TRUE
"945","2","close2",1,TRUE
"975","2","close2",1,TRUE
"1035","2","close2",1,TRUE
"1155","2","close2",1,TRUE
"1215","2","close2",1,TRUE
"1245","2","close2",1,TRUE
"1155","3","skinny",1,FALSE
"1185","3","skinny",1,FALSE
"1215","3","skinny",1,FALSE
"1245","3","skinny",1,FALSE
"1275","3","skinny",1,FALSE
"1305","3","skinny",1,FALSE
"1335","3","skinny",1,FALSE
