"instance_id","node_id","guess","N"
222,23226,20,24
222,22468,3,24
222,22516,32,24
222,24017,20,24
222,22793,50,24
222,23586,5,24
222,22657,20,24
222,22879,10,24
222,23614,7,24
222,23933,4,24
222,23208,6,24
222,23912,8,24
222,23594,10,24
222,23239,10,24
222,22841,6,24
222,23329,5,24
222,24284,2,24
222,23821,4,24
222,23988,10,24
222,24207,2,24
222,22817,10,24
222,22633,5,24
223,23028,60,24
223,23515,7,24
223,24195,1,24
223,24046,NA,24
223,23916,12,24
223,23393,50,24
223,22470,10,24
223,22828,4,24
223,23362,3,24
223,23000,20,24
223,22567,2,24
223,23495,15,24
223,23199,5,24
223,22577,18,24
223,24211,5,24
223,23442,180,24
223,22463,10,24
223,22435,50,24
223,22730,6,24
223,23417,40,24
223,23617,4,24
223,23317,7,24
224,23178,50,24
224,24200,NA,24
224,23835,10,24
224,23649,10,24
224,22756,6,24
224,23303,45,24
224,22497,20,24
224,22812,20,24
224,24338,10,24
224,23246,3,24
224,22936,30,24
224,22401,50,24
224,24280,12,24
224,23065,15,24
224,23176,4,24
224,24099,10,24
224,24363,4,24
224,24023,10,24
224,23237,4,24
225,24303,3,24
225,22944,6,24
225,23473,15,24
225,23321,8,24
225,23450,8,24
225,23886,50,24
225,23925,20,24
225,24016,15,24
225,22778,100,24
225,22467,100,24
225,22440,10,24
225,22642,3,24
225,22736,10,24
225,22546,6,24
225,23823,5,24
225,22615,10,24
225,22712,10,24
225,23353,4,24
225,24135,8,24
225,23078,2,24
225,23607,6,24
225,22680,3,24
225,24168,2,24
226,24256,19,24
226,22574,20,24
226,22568,10,24
226,22682,6,24
226,22399,5,24
226,22519,5,24
226,22829,50,24
226,23994,10,24
226,23887,8,24
226,24071,12,24
226,22913,5,24
226,22429,5,24
226,23432,200,24
226,23774,20,24
226,24335,20,24
226,22748,20,24
226,24118,10,24
226,23528,40,24
226,23733,2,24
226,23711,10,24
226,24065,10,24
227,23798,3,24
227,22390,12,24
227,22453,6,24
227,22890,10,24
227,22855,25,24
227,23553,6,24
227,23964,4,24
227,22636,10,24
227,24176,2,24
227,23387,25,24
227,23163,25,24
227,23714,500,24
227,23367,10,24
227,24350,15,24
227,22565,20,24
227,23573,4,24
227,23878,1,24
227,22438,6,24
227,24289,10,24
227,23005,10,24
227,23708,3,24
229,23934,10,24
229,23521,3,24
229,24201,50,24
229,23255,5,24
229,23300,4,24
229,23257,5,24
229,23396,12,24
229,22471,100,24
229,24012,5,24
229,23534,1,24
229,23546,6,24
229,23907,3,24
229,24291,4,24
229,23544,3,24
229,23773,4,24
229,23587,10,24
229,23077,6,24
229,23623,10,24
229,23539,6,24
229,22543,4,24
229,23971,4,24
229,24068,NA,24
230,23251,4,24
230,23411,10,24
230,23198,1,24
230,22995,2,24
230,23083,10,24
230,22396,6,24
230,22864,3,24
230,22623,5,24
230,23349,20,24
230,23437,10,24
230,22480,10,24
230,22473,5,24
230,23785,10,24
230,22466,5,24
230,23356,50,24
230,23211,20,24
230,22408,15,24
230,23354,25,24
230,23183,20,24
230,23117,5,24
230,22979,200,24
230,22609,6,24
231,23803,6,24
231,22929,10,24
231,23207,50,24
231,23810,100,24
231,23960,4,24
231,24027,50,24
231,23369,8,24
231,24105,5,24
231,23658,5,24
231,23215,3,24
231,24033,25,24
231,22738,5,24
231,23633,50,24
231,23426,6,24
231,22652,20,24
231,22580,10,24
231,23946,10,24
231,24339,20,24
231,23342,6,24
231,23980,4,24
231,22618,20,24
231,23397,5,24
234,25059,1,2
234,25586,3,2
237,23717,NA,2
237,23107,4,2
238,24206,4,2
238,23066,5,2
239,23921,3,2
239,23953,4,2
240,23295,NA,2
240,23551,10,2
241,23567,5,2
241,22520,6,2
242,23070,2,2
242,24208,1,2
243,22686,5,2
243,23541,100,2
244,23576,NA,2
244,23517,4,2
245,24288,15,2
245,23555,10,2
247,22914,20,2
247,23816,20,2
248,24304,10,2
249,24087,20,2
249,23582,3,2
250,23458,2,2
250,23895,20,2
251,24691,NA,2
251,25867,4,2
253,32742,4,2
253,32917,3,2
260,27048,NA,2
260,27292,10,2
261,25965,6,2
261,25088,3,2
262,21303,6,2
262,21303,6,2
262,25967,2,2
263,24745,3,2
263,24387,30,2
264,25983,4,2
264,25999,2,2
265,25948,10,2
265,25391,100,2
266,21360,5,2
266,21374,1,2
267,25559,16,2
267,25341,4,2
268,25115,20,2
268,25177,10,2
269,25413,40,2
269,25425,1,2
272,27707,2,2
272,27104,5,2
273,27781,2,2
273,27865,2,2
274,32529,1,2
274,32531,15,2
275,28541,45,2
275,32353,10,2
276,32240,6,2
276,8010,5,2
277,7909,1,2
277,7986,2,2
278,32247,28,2
278,8181,1,2
280,27520,2,2
280,27089,20,2
281,27738,2,2
281,27101,5,2
283,27194,10,2
283,27548,4,2
284,27265,3,2
284,27850,20,2
285,27760,4,2
285,27872,NA,2
286,27688,NA,2
286,27042,10,2
287,27789,1,2
287,27000,4,2
292,32549,10,50
292,32344,NA,50
292,7414,120,50
292,7489,20,50
292,7495,25,50
292,33034,NA,50
292,32394,10,50
292,33096,10,50
292,32507,50,50
292,7248,20,50
292,32203,10,50
292,32533,10,50
292,32472,15,50
292,7637,2,50
292,32380,10,50
292,7114,5,50
292,7101,10,50
292,32767,100,50
292,7227,4,50
292,7890,6,50
292,33126,20,50
292,32332,50,50
292,32702,25,50
292,32429,NA,50
292,28236,20,50
292,28659,10,50
292,28204,25,50
292,7100,10,50
292,7361,6,50
292,28750,20,50
292,7540,20,50
292,7016,NA,50
292,7888,3,50
292,32687,5,50
292,32689,5,50
292,32982,20,50
292,7939,3,50
292,32365,100,50
292,7281,10,50
292,32976,6,50
292,33132,20,50
292,32493,4,50
292,33055,25,50
292,32239,3,50
292,32665,10,50
292,7429,6,50
292,28402,24,50
292,8094,20,50
293,7014,50,50
293,28334,20,50
293,33008,2,50
293,33027,10,50
293,7650,5,50
293,7976,15,50
293,27929,10,50
293,33078,8,50
293,28432,10,50
293,7991,20,50
293,33115,20,50
293,7135,4,50
293,7138,25,50
293,7591,NA,50
293,7607,63,50
293,33142,3,50
293,7152,5,50
293,21183,100,50
293,28134,6,50
293,28271,4,50
293,32555,50,50
293,8394,8,50
293,33275,25,50
293,28175,20,50
293,7870,8,50
293,28305,5,50
293,7954,50,50
293,7893,5,50
293,7896,30,50
293,32201,NA,50
293,32364,10,50
293,28266,10,50
293,7961,25,50
293,32210,32,50
293,32872,NA,50
293,32331,5,50
293,28498,2,50
293,32415,7,50
293,7574,100,50
293,28043,NA,50
293,32404,10,50
293,28329,15,50
293,27959,10,50
293,32473,24,50
293,32407,9,50
293,21179,50,50
294,7926,20,50
294,28805,50,50
294,7393,5,50
294,7197,6,50
294,7721,4,50
294,32219,10,50
294,32389,4,50
294,7199,30,50
294,7226,10,50
294,7686,50,50
294,28140,20,50
294,28741,6,50
294,33204,10,50
294,7920,4,50
294,32226,10,50
294,32235,5,50
294,7915,6,50
294,32999,10,50
294,33001,10,50
294,32244,15,50
294,28192,3,50
294,7095,5,50
294,7970,6,50
294,32536,20,50
294,27921,3,50
294,7273,15,50
294,33081,8,50
294,32505,5,50
294,7990,NA,50
294,7147,25,50
294,7421,5,50
294,8012,12,50
294,7968,2,50
294,28712,16,50
294,28667,10,50
294,33180,10,50
294,33236,5,50
294,7420,30,50
294,28028,15,50
294,28171,15,50
294,28028,15,50
294,7966,20,50
294,7452,4,50
294,7044,7,50
294,7343,8,50
294,28072,5,50
294,32401,5,50
294,7459,3,50
295,32973,20,50
295,7351,10,50
295,28144,30,50
295,7560,6,50
295,28286,5,50
295,7088,1,50
295,28358,100,50
295,33202,5,50
295,7512,4,50
295,28210,4,50
295,7042,12,50
295,32945,10,50
295,28536,50,50
295,28830,10,50
295,28648,20,50
295,21182,1,50
295,32206,10,50
295,28669,5,50
295,8367,10,50
295,32209,100,50
295,7921,6,50
295,28273,8,50
295,7509,4,50
295,28020,20,50
295,28521,4,50
295,32347,3,50
295,33124,10,50
295,7279,2,50
295,32248,5,50
295,28349,4,50
295,32366,5,50
295,7904,NA,50
295,28217,10,50
295,32377,4,50
295,33116,37,50
295,8185,40,50
295,7590,1,50
295,28442,30,50
295,32525,NA,50
295,32434,NA,50
295,32652,9,50
